1NO0000001	-----Case# 45602-----
1NO0000744	Of SOLOMON he led by fraud to build
1NO0000745	His Temple right against the Temple of God
1NO0000746	On that opprobrious Hill, and made his Grove
1NO0000747	The pleasant Vally of HINNOM, TOPHET thence
1NO0000748	And black GEHENNA call'd, the Type of Hell.
1NO0000749	Next CHEMOS, th' obscene dread of MOABS Sons,
1NO0000750	From AROER to NEBO, and the wild
1NO0000751	Of Southmost ABARIM; in HESEBON
1NO0000752	And HERONAIM, SEONS Realm, beyond
1NO0000753	The flowry Dale of SIBMA clad with Vines,
1NO0000754	And ELEALE to th' ASPHALTICK Pool.
1NO0000755	PEOR his other Name, when he entic'd
1NO0000756	ISRAEL in SITTIM on their march from NILE
1NO0000757	To do him wanton rites, which cost them woe.
1NO0000758	Yet thence his lustful Orgies he enlarg'd
1NO0000759	Even to that Hill of scandal, by the Grove
1NO0000760	Of MOLOCH homicide, lust hard by hate;
1NO0000761	Till good JOSIAH drove them thence to Hell.
1NO0000762	O For that warning voice, which he who saw
1NO0000763	Th' APOCALYPS, heard cry in Heaven aloud,
1NO0000764	Then when the Dragon, put to second rout,
1NO0000765	Came furious down to be reveng'd on men,
1NO0000766	WO TO THE INHABITANTS ON EARTH! that now,
1NO0000767	While time was, our first Parents had bin warnd
1NO0000768	The coming of thir secret foe, and scap'd
1NO0000769	Haply so scap'd his mortal snare; for now
1NO0000770	SATAN, now first inflam'd with rage, came down,
1NO0000771	The Tempter ere th' Accuser of man-kind,
1NO0000772	To wreck on innocent frail man his loss
1NO0000773	Of that first Battel, and his flight to Hell
1NO0000774	To whom thus ADAM gratefully repli'd.
1NO0000775	What thanks sufficient, or what recompence
1NO0000776	Equal have I to render thee, Divine
1NO0000777	Hystorian, who thus largely hast allayd
1NO0000778	The thirst I had of knowledge, and voutsaf't
1NO0000779	This friendly condescention to relate
1NO0000780	Things else by me unsearchable, now heard
1NO0000781	VVith wonder, but delight, and, as is due,
1NO0000782	With glorie attributed to the high
1NO0000783	Creator; some thing yet of doubt remaines,
1NO0000784	VVhich onely thy solution can resolve.
1NO0000785	VVhen I behold this goodly Frame, this VVorld
1NO0000786	Of Heav'n and Earth consisting, and compute,
1NO0000787	Thir magnitudes, this Earth a spot, a graine,
1NO0000788	An Atom, with the Firmament compar'd
1NO0000789	And all her numberd Starrs, that seem to rowle
1NO0000790	Spaces incomprehensible (for such
1NO0000791	Thir distance argues and thir swift return
1NO0000792	Diurnal) meerly to officiate light
1NO0000793	Round this opacous Earth, this punctual spot,
1NO0000794	One day and night; in all thir vast survey
1NO0000795	Useless besides, reasoning I oft admire,
1NO0000796	How Nature wise and frugal could commit
1NO0000797	Such disproportions, with superfluous hand
1NO0000798	In my seven dozen years studying the ghoul anatomy, I discover more and more evidence to support my theory on the nature of the not-radiological human, or "ghoul" as they are commonly called.
1NO0000799	In summary: I theorize that our unnaturally long lifespan is due to a mutation within the autonomic nervous system of certain individuals following exposure to specific combinations of ionizing radiation with wavelengths below 10 picometers. This mutation, it seems, disrupts the normal process of decay in the neurotransmitters along the spinal cord.
1NO0000800	Specifically, the transmitters effected are those responsible for cardiac and respiratory function in a healthy human. According to my studies, these transmitters are continually regenerated after mutation, carrying sufficient oxygen to sustain the life of the subject while being insufficient to retain skin elasticity and avoid necrosis, the result of which is the corpse-like appearance of post-mutation humans.  It should be noted that exposure to radiation typically result in sickness followed by death and the x-factor that will lead to mutation upon exposure in lieu of the typical outcome remains unknown to this researcher.
1NO0000801	In the coming months, I will be assembling my findings on this subject into a full study.
1NO0000802	The brain structure of a Luminous Necrotic Post-Human (colloquially referred to as a "Glowing One") indicates that the regenerative ability of the neurological systems that affords typical Necrotic Post-Humans their longevity, does not extend into the higher reasoning functions of the brain itself. (This subject is further covered in report on the dissection of Feral Necrotic Post-Humans)
1NO0000803	The distinctive luminescence that is the trademark of the Glowing One can be best attributed to an unusual amount of radioactive chemicals that building up in the bloodstream and muscle tissue of a typical Ghoul. Upon the transformation into a Feral Ghoul, the neurological systems of the body cease filtering these particles from the blood and tissue, instead causing them to build a distinctive bioluminescence that is distinctive of the "Glowing Ones".
1NO0000804	Their social structure seems to be different from that of the Feral Ghoul. They actively seek out others of both their strain and those afflicted with Ferocious Post-Necrotic Dystrophy, particularly those who may have been injured. Studies on the nature of their healing effects on other ghouls continues with no conclusive results as of yet.
1NO0000805	The brain structure of a Feral Necrotic Post-Human indicates that the regenerative ability of the neurological systems that affords typical Necrotic Post-Humans their longevity does not extend into the higher reasoning functions of the brain itself. This is a condition that I refer to as Ferocious Post-Necrotic Dystrophy.
1NO0000806	As the reasoning and high order thinking portions of the brain deteriorate, the Post-Human subject becomes increasingly hostile, giving into a carnal need to feed as opposed to the capacity for thinking that reasoning that a typical Necrotic Post-Human retains. It remains unclear exactly what precipitates this change in biology and psychology, but anecdotal evidence seems to indicate that non-social ghouls, or those in isolation, are more prone to the condition.
1NO0000807	Junction AA76 - Needs a new fuse box
1NO0000808	Junction AA84 - Leaking air
1NO0000809	Junction AB36 - Relay fan busted
1NO0000810	Junction AB40 - This one is just fucked. Reroute.
1NO0000811	Junction AC22 - Possibly on fire. Check it out later.
1NO0000812	Junction AC67 - Something stinks. A Molerat?
1NO0000813	Junction AC88 - Missing parts. All of them.
